ndc9:8	"言語（類目）"
ndc9:892.4	"ラテン語--語彙"
ndc9:892.5	"ラテン語--文法．語法"
ndc9:892.6	"ラテン語--文章．文体．作文"
ndc9:892.7	"ラテン語--読本．解釈．会話"
ndc9:892.78	"ラテン語--読本．解釈．会話--会話"
ndc9:892.8	"ラテン語--方言．訛語"
ndc9:893	"その他のヨーロッパの諸言語"
ndc9:893.1	"その他のヨーロッパの諸言語--ケルト諸語"
ndc9:893.2	"その他のヨーロッパの諸言語--アイルランド語．スコットランド・ゲール語"
ndc9:893.3	"その他のヨーロッパの諸言語--ブルトン語．ウェールズ語．コーンウォール語"
ndc9:893.4	"その他のヨーロッパの諸言語--アルバニア語"
ndc9:893.5	"その他のヨーロッパの諸言語--バスク語"
ndc9:893.6	"その他のヨーロッパの諸言語--ウラル諸語"
ndc9:893.61	"その他のヨーロッパの諸言語--ウラル諸語--フィンランド語［スオミ語］"
ndc9:893.62	"その他のヨーロッパの諸言語--ウラル諸語--エストニア語"
ndc9:893.63	"その他のヨーロッパの諸言語--ウラル諸語--サーミ語［ラップ語］"
ndc9:893.7	"その他のヨーロッパの諸言語--ウゴル諸語：ハンガリー語［マジャル語］"
ndc9:893.8	"その他のヨーロッパの諸言語--サモエード諸語"
ndc9:894	"アフリカの諸言語"
ndc9:894.2	"アフリカの諸言語--古代エジプト語．コプト語"
ndc9:894.21	"（アフリカの諸言語--古代エジプト語．コプト語--エジプト文字）"
ndc9:894.3	"アフリカの諸言語--ベルベル諸語"
ndc9:894.4	"アフリカの諸言語--クシ諸語：ソマリ語"
ndc9:894.5	"アフリカの諸言語--チャド諸語：ハウサ語"
ndc9:894.6	"アフリカの諸言語--ナイル・サハラ諸語"
ndc9:894.7	"アフリカの諸言語--ニジェール・コルドファン諸語：バントゥ諸語，スワヒリ語"
ndc9:894.8	"アフリカの諸言語--コイサン諸語：ホッテントット語，ブッシュマン語"
ndc9:895	"アメリカの諸言語"
ndc9:895.1	"アメリカの諸言語--エスキモー語．アリュート語"
ndc9:895.2	"アメリカの諸言語--北米インディアン諸語．南米インディアン諸語：カリブ諸語"
ndc9:897	"オーストラリアの諸言語"
ndc9:897.9	"オーストラリアの諸言語--パプア諸語"
ndc9:899	"国際語［人工語］"
ndc9:899.1	"国際語［人工語］--エスペラント"
ndc9:899.3	"国際語［人工語］--イード．ヴォラピューク．オクツィデンタル．ノヴィアル"
