ndc9:6	"産業（類目）"
ndc9:674.3	"広告．宣伝--商業美術・写真．商業デザイン"
ndc9:674.4	"広告．宣伝--広告代理業"
ndc9:674.5	"広告．宣伝--直接広告：ダイレクトメール，サンプル配布"
ndc9:674.6	"広告．宣伝--広告媒体"
ndc9:674.7	"広告．宣伝--宣伝広告用印刷物"
ndc9:674.8	"広告．宣伝--屋外広告．交通広告"
ndc9:674.9	"広告．宣伝--各商品・各企業の広告"
ndc9:675	"マーケティング"
ndc9:675.1	"マーケティング--商品．商品学"
ndc9:675.2	"マーケティング--市場調査．市場予測"
ndc9:675.3	"マーケティング--商品化．商品計画"
ndc9:675.4	"マーケティング--販売経路．商品流通機構．配給組織"
ndc9:675.5	"マーケティング--卸売市場［中央卸売市場］：青果市場，魚市場"
ndc9:676	"取引所"
ndc9:676.4	"取引所--商品取引所"
ndc9:676.7	"取引所--投機．相場．買占"
ndc9:676.8	"取引所--とみくじ"
ndc9:678	"貿易"
ndc9:678.1	"貿易--貿易政策・行政・法令"
ndc9:678.2	"貿易--貿易史・事情"
ndc9:678.3	"貿易--通商条約・協定．関税．税関"
ndc9:678.4	"貿易--貿易実務：貿易会計，貿易金融，輸出入手続，通関手続，クレーム"
ndc9:678.5	"貿易--貿易品．国際商品．国際市場"
ndc9:678.6	"貿易--貿易組合"
ndc9:678.9	"貿易--貿易統計"
ndc9:68	"運輸．交通（綱目）"
ndc9:680	"運輸．交通"
ndc9:680.6	"（運輸．交通--交通博物館）"
ndc9:681	"交通政策・行政・経営"
ndc9:681.1	"交通政策・行政・経営--交通政策．交通統制"
ndc9:681.2	"交通政策・行政・経営--交通行政．交通法"
ndc9:681.3	"交通政策・行政・経営--交通安全．交通事故：自動車事故＜一般＞"
ndc9:681.4	"交通政策・行政・経営--交通経営形態．交通賃率．交通会計"
ndc9:681.5	"交通政策・行政・経営--旅客"
ndc9:681.6	"交通政策・行政・経営--貨物．コンテナ輸送"
ndc9:681.8	"交通政策・行政・経営--都市交通"
ndc9:682	"交通史・事情"
ndc9:682.1	"（交通史・事情--駅伝，駕篭，宿駅，助郷，関所，伝馬，飛脚，本陣）"
ndc9:682.9	"交通史・事情--交通地理．交通地図"
ndc9:683	"海運"
ndc9:683.1	"海運--海運政策・行政・法令"
ndc9:683.2	"海運--海運史・事情"
ndc9:683.3	"海運--海運経営・金融・会計：海運航路，傭船，海運同盟"
ndc9:683.4	"海運--海運賃率"
ndc9:683.5	"海運--旅客"
ndc9:683.6	"海運--船荷証券．貨物．貨物積載法：船積書類"
ndc9:683.8	"海運--海員：船長，船員"
ndc9:683.9	"海運--港湾．商港"
ndc9:684	"内水・運河交通"
ndc9:685	"陸運．自動車運送"
ndc9:685.1	"陸運．自動車運送--陸運政策・行政・法令：道路，自動車"
ndc9:685.2	"陸運．自動車運送--陸運史・事情"
