ndc9:374.7	"学校経営・管理．学校保健--学校施設・設備"
ndc9:374.8	"学校経営・管理．学校保健--校外教育：林間学校，臨海学校"
ndc9:374.9	"学校経営・管理．学校保健--学校保健"
ndc9:375	"教育課程．学習指導．教科別教育"
ndc9:375.1	"教育課程．学習指導．教科別教育--学習指導＜一般＞．学習指導要領"
ndc9:375.2	"教育課程．学習指導．教科別教育--生活指導．生徒指導"
ndc9:375.3	"教育課程．学習指導．教科別教育--社会科教育"
ndc9:375.4	"教育課程．学習指導．教科別教育--科学教育"
ndc9:375.5	"教育課程．学習指導．教科別教育--技術・家庭科"
ndc9:375.6	"教育課程．学習指導．教科別教育--職業科．高校職業課程．職業教育．産業教育"
ndc9:375.7	"教育課程．学習指導．教科別教育--芸能科"
ndc9:375.8	"教育課程．学習指導．教科別教育--国語科．国語教育"
ndc9:375.9	"教育課程．学習指導．教科別教育--教科書"
ndc9:376	"幼児・初等・中等教育"
ndc9:376.1	"幼児・初等・中等教育--幼児教育．保育．就学前教育．幼稚園．保育園"
ndc9:376.2	"幼児・初等・中等教育--初等教育．小学校"
ndc9:376.3	"幼児・初等・中等教育--中等教育．中学校"
ndc9:376.4	"幼児・初等・中等教育--高等学校．高校生活"
ndc9:376.7	"幼児・初等・中等教育--各種学校．専修学校．専門学校"
ndc9:376.8	"幼児・初等・中等教育--予備教育．塾教育．入学試験．受験．学習塾"
ndc9:376.9	"幼児・初等・中等教育--外国人学校．在外邦人学校"
ndc9:377	"大学．高等・専門教育．学術行政"
ndc9:377.1	"大学．高等・専門教育．学術行政--大学の管理・組織・運営．法令・基準．大学の自治"
ndc9:377.2	"大学．高等・専門教育．学術行政--大学の歴史・事情"
ndc9:377.3	"大学．高等・専門教育．学術行政--短期大学．高等専門学校"
ndc9:377.5	"大学．高等・専門教育．学術行政--学位"
ndc9:377.6	"大学．高等・専門教育．学術行政--海外留学．交換教授．国際学術交流"
ndc9:377.7	"大学．高等・専門教育．学術行政--学術研究奨励"
ndc9:377.9	"大学．高等・専門教育．学術行政--学生．学生生活．学生問題"
ndc9:378	"障害児教育"
ndc9:378.1	"障害児教育--視覚障害児：盲児．弱視児．盲教育"
ndc9:378.2	"障害児教育--聾唖児．難聴児．言語障害児．聾教育"
ndc9:378.3	"障害児教育--肢体不自由児．整形学校"
ndc9:378.4	"障害児教育--虚弱児．養護学校"
ndc9:378.5	"障害児教育--言語発達遅滞児．吃音矯正"
ndc9:378.6	"障害児教育--精神薄弱児・遅滞児"
ndc9:378.7	"障害児教育--脳性麻痺児"
ndc9:378.8	"障害児教育--情緒障害児"
ndc9:378.9	"障害児教育--障害者の教育・訓練"
ndc9:379	"社会教育"
ndc9:379.1	"社会教育--社会教育行財政・法令"
ndc9:379.2	"社会教育--社会教育施設：公民館，公会堂，コミュニティ センター"
ndc9:379.3	"社会教育--青少年教育・団体．児童文化活動"
ndc9:379.4	"社会教育--成人教育"
ndc9:379.5	"社会教育--集会学習．視聴覚教育"
ndc9:379.6	"社会教育--集団学習．サークル活動"
ndc9:379.7	"社会教育--通信教育．独学"
ndc9:379.8	"社会教育--教化運動"
ndc9:379.9	"社会教育--家庭教育"
ndc9:38	"風俗習慣．民俗学．民族学（綱目）"
ndc9:380	"風俗習慣．民俗学．民族学"
ndc9:380.1	"風俗習慣．民俗学．民族学--民間伝承論．民俗学"
ndc9:380.9	"風俗習慣．民俗学．民族学--比較民俗学"
ndc9:382	"風俗史．民俗誌．民族誌"
ndc9:382.1	"風俗史．民俗誌．民族誌--日本"
ndc9:382.2	"風俗史．民俗誌．民族誌--アジア．東洋"
ndc9:382.3	"風俗史．民俗誌．民族誌--ヨーロッパ．西洋"
ndc9:382.4	"風俗史．民俗誌．民族誌--アフリカ"
ndc9:382.5	"風俗史．民俗誌．民族誌--北アメリカ"
ndc9:382.6	"風俗史．民俗誌．民族誌--南アメリカ"
ndc9:382.7	"風俗史．民俗誌．民族誌--オセアニア．両極地方"
ndc9:382.8	"風俗史．民俗誌．民族誌--民俗（族）学者＜列伝＞"
ndc9:382.9	"風俗史．民俗誌．民族誌--地理区分できない民族"
ndc9:383	"衣食住の習俗"
ndc9:383.1	"衣食住の習俗--服装．服飾史"
ndc9:383.2	"衣食住の習俗--冠帽．履物"
ndc9:383.3	"衣食住の習俗--装身具［アクセサリー］"
ndc9:383.4	"衣食住の習俗--手袋．襟巻．ショール．扇子．ステッキ"
ndc9:383.5	"衣食住の習俗--結髪史．髪型．髪飾り．化粧史"
ndc9:383.6	"衣食住の習俗--沐浴史"
ndc9:383.7	"衣食住の習俗--身体変工：刺青［入墨］，御歯黒，耳朶穿孔，纒足，抜歯"
ndc9:383.8	"衣食住の習俗--飲食史［食制］"
ndc9:383.9	"衣食住の習俗--住生活史"
ndc9:384	"社会・家庭生活の習俗"
ndc9:384.1	"社会・家庭生活の習俗--村制民俗：垣内，組，宮座，講，氏子，族制"
ndc9:384.2	"社会・家庭生活の習俗--都市"
