ndc9:456.6	"地史学．層位学--新生代"
ndc9:456.7	"地史学．層位学--第三紀"
ndc9:456.8	"地史学．層位学--第四紀"
ndc9:456.9	"地史学．層位学--各地の地層"
ndc9:457	"古生物学．化石"
ndc9:457.2	"古生物学．化石--化石誌"
ndc9:457.3	"古生物学．化石--層位古生物学"
ndc9:457.7	"古生物学．化石--古植物学．植物化石"
ndc9:457.8	"古生物学．化石--古動物学．動物化石"
ndc9:458	"岩石学"
ndc9:458.1	"岩石学--一般岩石学"
ndc9:458.2	"岩石学--岩石誌"
ndc9:458.6	"岩石学--火成岩"
ndc9:458.7	"岩石学--堆積岩［水成岩］"
ndc9:458.8	"岩石学--変成岩：結晶片岩，珪岩，大理石"
ndc9:458.9	"岩石学--応用地質学．鉱床学"
ndc9:459	"鉱物学"
ndc9:459.1	"鉱物学--一般鉱物学"
ndc9:459.2	"鉱物学--鉱物誌"
ndc9:459.3	"鉱物学--元素鉱物"
ndc9:459.4	"鉱物学--硫化鉱物"
ndc9:459.5	"鉱物学--酸化鉱物：石英，ボーキサイト，鉄鉱"
ndc9:459.6	"鉱物学--複化合鉱物．酸塩類鉱物"
ndc9:459.7	"鉱物学--宝石"
ndc9:459.8	"鉱物学--隕鉄．隕石"
ndc9:459.9	"鉱物学--結晶学"
ndc9:46	"生物科学．一般生物学（綱目）"
ndc9:460	"生物科学．一般生物学"
ndc9:460.7	"生物科学．一般生物学--研究法．指導法．生物学教育"
ndc9:460.8	"生物科学．一般生物学--叢書．全集．選集"
ndc9:461	"理論生物学．生命論"
ndc9:461.1	"理論生物学．生命論--生物哲学．生命の本質．生と死"
ndc9:461.6	"理論生物学．生命論--生命の起原．生気説"
ndc9:461.9	"理論生物学．生命論--数理生物学"
ndc9:462	"生物地理．生物誌"
ndc9:462.9	"生物地理．生物誌--天然記念物"
ndc9:463	"細胞学"
ndc9:463.2	"細胞学--原形質"
ndc9:463.3	"細胞学--細胞質．中心体"
ndc9:463.4	"細胞学--細胞核．染色体"
ndc9:463.5	"細胞学--細胞分裂．増殖．倍数性"
ndc9:463.6	"細胞学--細胞生理学"
ndc9:463.7	"細胞学--形態学．組織学"
ndc9:463.8	"細胞学--発生学"
ndc9:463.9	"細胞学--生理学"
ndc9:464	"生化学"
ndc9:464.1	"生化学--分子生物学．放射線生物学"
ndc9:464.2	"生化学--蛋白質"
ndc9:464.3	"生化学--糖質．炭水化物"
ndc9:464.4	"生化学--脂質．リポイド［糖脂質］"
ndc9:464.5	"生化学--酵素"
ndc9:464.6	"生化学--アルカロイド［植物塩基］"
ndc9:464.7	"生化学--その他の有機成分"
ndc9:464.8	"生化学--無機成分"
ndc9:464.9	"生化学--生物物理学"
ndc9:465	"微生物学"
ndc9:465.1	"微生物学--形態学：胞子，色素"
ndc9:465.3	"微生物学--生理学"
ndc9:465.4	"微生物学--化学"
ndc9:465.5	"微生物学--抗原．抗体．抗毒素"
ndc9:465.7	"微生物学--発光微生物"
ndc9:465.8	"微生物学--各論：かび，酵母，細菌，リケッチア，ウイルス"
ndc9:467	"遺伝学"
ndc9:467.1	"遺伝学--理論遺伝学．統計遺伝学"
ndc9:467.2	"遺伝学--実験遺伝学．遺伝子"
ndc9:467.3	"遺伝学--細胞遺伝学．性染色体"
ndc9:467.4	"遺伝学--変異：自然変異，人為的変異，突然変異"
ndc9:467.5	"遺伝学--進化論：自然淘汰，人為淘汰"
ndc9:468	"生態学"
ndc9:468.2	"生態学--環境要素：空気，湿度，水，土壌，光"
ndc9:468.3	"生態学--生物の適応"
ndc9:468.4	"生態学--群落．群生．群棲．共生．寄生"
ndc9:468.5	"生態学--生物季節"
ndc9:468.6	"生態学--プランクトン［浮遊生物］"
ndc9:468.8	"生態学--海洋生物学"
ndc9:469	"人類学"
ndc9:469.2	"人類学--人類の起原．化石人類．原人．原始人類"
ndc9:469.3	"人類学--人類の移動と接触"
ndc9:469.4	"人類学--形質人類学"
ndc9:469.5	"人類学--人体測定学"
ndc9:469.6	"人類学--人種学．人種系統．人種分類学"
ndc9:469.7	"人類学--先史学"
ndc9:469.8	"人類学--地理区分できない人種"
ndc9:469.9	"人類学--人種誌"
ndc9:47	"植物学（綱目）"
ndc9:470	"植物学"
ndc9:470.7	"植物学--研究法．指導法．植物学教育"
ndc9:470.9	"植物学--植物保護"
ndc9:471	"一般植物学"
ndc9:471.1	"一般植物学--植物形態学．植物解剖学"
ndc9:471.2	"一般植物学--植物発生学"
ndc9:471.3	"一般植物学--植物生理学"
ndc9:471.4	"一般植物学--植物化学．光合成"
ndc9:471.6	"一般植物学--植物病理学"
ndc9:471.7	"一般植物学--植物生態学"
ndc9:471.8	"一般植物学--植物分類学"
ndc9:471.9	"一般植物学--応用植物学．有毒植物"
ndc9:472	"植物地理．植物誌"
ndc9:472.8	"植物地理．植物誌--植物区系．フロラ"
ndc9:472.9	"植物地理．植物誌--天然記念物"
ndc9:473	"葉状植物"
ndc9:473.2	"葉状植物--分裂植物"
ndc9:473.3	"葉状植物--変形菌類［粘菌植物］"
ndc9:473.4	"葉状植物--鞭毛藻類［鞭毛植物］"
ndc9:473.5	"葉状植物--双鞭毛藻類"
ndc9:473.6	"葉状植物--珪鞭毛藻類"
ndc9:473.7	"葉状植物--珪藻植物"
ndc9:473.8	"葉状植物--接合藻類［接合植物］"
ndc9:474	"藻類．菌類"
ndc9:474.2	"藻類．菌類--緑藻植物"
ndc9:474.3	"藻類．菌類--輪藻植物"
ndc9:474.4	"藻類．菌類--褐藻植物"
ndc9:474.5	"藻類．菌類--紅藻植物"
ndc9:474.6	"藻類．菌類--藻菌植物"
ndc9:474.7	"藻類．菌類--子嚢菌植物"
ndc9:474.8	"藻類．菌類--担子菌植物"
ndc9:474.9	"藻類．菌類--地衣類"
ndc9:475	"コケ植物［蘚苔類］"
ndc9:475.2	"コケ植物［蘚苔類］--タイ類［ゼニゴケ類］"
ndc9:475.3	"コケ植物［蘚苔類］--ゼニゴケ目"
ndc9:475.4	"コケ植物［蘚苔類］--ツノゴケ目"
ndc9:475.5	"コケ植物［蘚苔類］--ウロコゴケ目"
ndc9:475.6	"コケ植物［蘚苔類］--セン類［スギゴケ類］"
ndc9:475.7	"コケ植物［蘚苔類］--ミズゴケ類"
ndc9:475.8	"コケ植物［蘚苔類］--クロゴケ類"
ndc9:475.9	"コケ植物［蘚苔類］--カサゴケ類"
ndc9:476	"シダ植物"
ndc9:476.3	"シダ植物--トクサ類"
ndc9:476.4	"シダ植物--ヒカゲノカズラ類［石松子］"
ndc9:476.5	"シダ植物--マツバラン類"
ndc9:476.6	"シダ植物--ミズニラ類"
ndc9:476.7	"シダ植物--真嚢シダ類"
ndc9:476.8	"シダ植物--真正シダ類"
ndc9:476.9	"シダ植物--水生シダ類"
ndc9:477	"種子植物"
ndc9:478	"裸子植物"
ndc9:478.3	"裸子植物--ソテツ類"
ndc9:478.4	"裸子植物--ベネチテス類"
ndc9:478.5	"裸子植物--イチョウ類"
ndc9:478.6	"裸子植物--松柏類．針葉類．毬果類"
ndc9:478.7	"裸子植物--マオウ類"
ndc9:479	"被子植物"
ndc9:479.3	"被子植物--単子葉植物"
ndc9:479.4	"被子植物--双子葉植物"
ndc9:479.5	"被子植物--離弁花類［古生花被類］"
ndc9:479.9	"被子植物--合弁花類［後生花被類］"
ndc9:48	"動物学（綱目）"
ndc9:480	"動物学"
ndc9:480.7	"動物学--研究法．指導法．動物学教育"
ndc9:480.9	"動物学--動物保護"
ndc9:481	"一般動物学"
ndc9:481.1	"一般動物学--動物形態学．動物解剖学"
ndc9:481.2	"一般動物学--動物発生学：個体発生，卵生，胎生，幼虫と変態"
ndc9:481.3	"一般動物学--動物生理学"
ndc9:481.4	"一般動物学--動物化学"
ndc9:481.7	"一般動物学--動物生態学"
ndc9:481.8	"一般動物学--動物分類学"
ndc9:481.9	"一般動物学--応用動物学"
ndc9:482	"動物地理．動物誌"
ndc9:482.8	"動物地理．動物誌--動物区系"
ndc9:482.9	"動物地理．動物誌--天然記念物"
ndc9:483	"無脊椎動物"
ndc9:483.1	"無脊椎動物--原生動物"
ndc9:483.2	"無脊椎動物--海綿動物"
ndc9:483.3	"無脊椎動物--腔腸動物"
ndc9:483.4	"無脊椎動物--扁形動物"
ndc9:483.5	"無脊椎動物--紐形動物"
ndc9:483.6	"無脊椎動物--輪形動物"
ndc9:483.7	"無脊椎動物--線形動物"
ndc9:483.8	"無脊椎動物--毛顎動物"
ndc9:483.9	"無脊椎動物--環形動物"
