ndc9:7	"芸術．美術（類目）"
ndc9:774.8	"歌舞伎--歌舞伎の慣習と年中行事"
ndc9:774.9	"歌舞伎--所作事"
ndc9:775	"各種の演劇"
ndc9:775.1	"各種の演劇--新派．新劇．近代劇"
ndc9:775.2	"各種の演劇--喜劇．軽演劇"
ndc9:775.3	"各種の演劇--オペレッタ"
ndc9:775.4	"各種の演劇--レビュー．少女歌劇．ミュージカル"
ndc9:775.5	"各種の演劇--移動演劇．野外劇［ページェント］．地方演劇"
ndc9:775.6	"各種の演劇--素人演劇：自立演劇，職場演劇"
ndc9:775.7	"各種の演劇--学校劇．児童劇．学生演劇"
ndc9:775.8	"各種の演劇--パントマイム．仮面劇"
ndc9:777	"人形劇"
ndc9:777.1	"人形劇--人形浄瑠璃"
ndc9:777.8	"人形劇--影絵芝居．ギニョル．マリオネット"
ndc9:778	"映画"
ndc9:778.2	"映画--映画史．各国の映画"
ndc9:778.3	"映画--映画監督・俳優．演技．配役"
ndc9:778.4	"映画--映画制作および演出．撮影技術"
ndc9:778.5	"映画--コンティニュイティ［撮影台本］"
ndc9:778.7	"映画--各種映画：科学映画，記録映画，教育映画"
ndc9:778.8	"映画--テレビ演劇．放送劇"
ndc9:778.9	"映画--幻灯"
ndc9:779	"大衆演芸"
ndc9:779.1	"大衆演芸--寄席"
ndc9:779.2	"大衆演芸--俄狂言．村芝居"
ndc9:779.3	"大衆演芸--奇術"
ndc9:779.4	"大衆演芸--見世物．パノラマ"
ndc9:779.5	"大衆演芸--サーカス：曲芸，軽業，動物芸"
ndc9:779.7	"大衆演芸--門付．演歌．大道芸"
ndc9:779.8	"大衆演芸--紙芝居"
ndc9:779.9	"大衆演芸--放送演芸"
ndc9:78	"スポーツ．体育（綱目）"
ndc9:780	"スポーツ．体育"
ndc9:780.1	"スポーツ．体育--体育理論．体育学"
ndc9:780.6	"スポーツ．体育--団体：学会，協会，会議"
ndc9:780.7	"スポーツ．体育--研究法．指導法．トレーニング．審判"
ndc9:781	"体操．遊戯"
ndc9:781.2	"体操．遊戯--体操の系統：スウェーデン体操，デンマーク体操，ドイツ体操"
ndc9:781.4	"体操．遊戯--徒手体操"
ndc9:781.5	"体操．遊戯--器械体操．体操競技"
ndc9:781.8	"体操．遊戯--マスゲーム"
ndc9:781.9	"体操．遊戯--遊戯＜一般＞．児童遊戯．家庭遊戯"
ndc9:782	"陸上競技"
ndc9:782.3	"陸上競技--競走．競走競技：短距離，中距離，長距離，マラソン，駅伝，クロスカントリー［断郊］，障害物競走，リレー競走，競歩"
ndc9:782.4	"陸上競技--跳躍競技［ジャンプ］：三段跳，走高跳，走幅跳，棒高跳"
ndc9:782.5	"陸上競技--投擲競技：円盤投げ，砲丸投げ，ハンマー投げ，槍投げ"
ndc9:782.6	"陸上競技--混成競技：五種，七種，十種，近代五種，トライアスロン"
ndc9:782.8	"陸上競技--重量挙［ウエイトリフティング］"
ndc9:782.9	"陸上競技--空中スポーツ：グライダ競技，スカイダイビング，ハンググライダ，パラグライダ，気球競技"
ndc9:783	"球技"
ndc9:783.1	"球技--バスケットボール"
ndc9:783.2	"球技--バレーボール"
ndc9:783.3	"球技--ハンドボール．ドッジボール"
ndc9:783.4	"球技--フットボール"
ndc9:783.5	"球技--庭球［テニス］"
ndc9:783.6	"球技--卓球"
ndc9:783.7	"球技--野球"
ndc9:783.8	"球技--ゴルフ"
ndc9:783.9	"球技--ボウリング"
ndc9:784	"冬季競技"
ndc9:784.3	"冬季競技--スキー．スキー競技"
ndc9:784.6	"冬季競技--スケート．スケート競技"
ndc9:784.7	"冬季競技--アイス ホッケー．アイス ポロ．バンディ"
ndc9:784.8	"冬季競技--橇競技：ボッブスレー，リュージュ［トボガン］"
ndc9:784.9	"冬季競技--カーリング"
ndc9:785	"水上競技"
ndc9:785.2	"水上競技--水泳．競泳．飛び込み"
ndc9:785.3	"水上競技--水上スキー．サーフィン．ボード セーリング"
ndc9:785.4	"水上競技--水球"
ndc9:785.5	"水上競技--ボート．ボート レース．カヌー．ペーロン．レガッタ"
ndc9:785.6	"水上競技--モータボート"
ndc9:785.7	"水上競技--ヨット．ヨット レース"
ndc9:786	"戸外レクリエーション"
ndc9:786.1	"戸外レクリエーション--登山．ワンダーフォーゲル"
ndc9:786.3	"戸外レクリエーション--キャンピング．ホステリング"
ndc9:786.4	"戸外レクリエーション--ハイキング．遠足"
ndc9:786.5	"戸外レクリエーション--サイクリング．自転車競技"
ndc9:786.6	"戸外レクリエーション--ドライブ．ツーリング．ゴーカート．モトクロス"
ndc9:786.8	"戸外レクリエーション--ローラー スケート．スケートボード"
ndc9:786.9	"戸外レクリエーション--ブーメラン．フライング ディスク．ガラッキー．ボウルズ"
ndc9:787	"釣魚．遊猟"
ndc9:787.1	"釣魚．遊猟--釣り"
ndc9:787.2	"釣魚．遊猟--鵜飼"
ndc9:787.6	"釣魚．遊猟--遊猟．鷹狩"
ndc9:788	"相撲．拳闘．競馬"
ndc9:788.1	"相撲．拳闘．競馬--相撲"
ndc9:788.2	"相撲．拳闘．競馬--レスリング"
ndc9:788.3	"相撲．拳闘．競馬--ボクシング"
ndc9:788.4	"相撲．拳闘．競馬--動物の闘技・競走：闘牛，闘鶏，闘犬，ドッグレース"
ndc9:788.5	"相撲．拳闘．競馬--競馬"
ndc9:788.6	"相撲．拳闘．競馬--競輪"
ndc9:788.7	"相撲．拳闘．競馬--オートレース：カーレース，ラリー，小型自動車競技"
ndc9:788.8	"相撲．拳闘．競馬--競艇"
ndc9:789	"武術"
ndc9:789.2	"武術--柔道．サンボ"
ndc9:789.3	"武術--剣道"
ndc9:789.4	"武術--槍術"
ndc9:789.5	"武術--弓道．弓矢．楊弓"
ndc9:789.6	"武術--馬術．馬術競技"
ndc9:789.7	"武術--射撃．射撃競技"
ndc9:789.8	"武術--忍術"
ndc9:789.9	"武術--護身術"
ndc9:79	"諸芸．娯楽（綱目）"
ndc9:790	"諸芸．娯楽"
ndc9:791	"茶道"
ndc9:791.2	"茶道--茶道史．茶人伝"
ndc9:791.3	"茶道--材料：茶，水，炭，灰"
ndc9:791.4	"茶道--茶碗"
ndc9:791.5	"茶道--茶器．茶道具：棚物"
ndc9:791.6	"茶道--茶室．茶庭．茶花"
ndc9:791.7	"茶道--作法：点前，点茶，茶会"
ndc9:791.8	"茶道--懐石"
ndc9:792	"香道"
ndc9:793	"花道"
ndc9:793.2	"花道--花道史．花道家伝"
ndc9:793.3	"花道--花卉"
ndc9:793.5	"花道--花器．剣山．道具"
ndc9:793.6	"花道--生花．立花"
ndc9:793.7	"花道--投入"
ndc9:793.8	"花道--盛花"
ndc9:793.9	"花道--盆景．盆石"
ndc9:794	"撞球"
ndc9:795	"囲碁"
ndc9:795.7	"囲碁--連珠"
ndc9:795.8	"囲碁--オセロ"
ndc9:796	"将棋"
ndc9:796.9	"将棋--チェッカー．チェス"
ndc9:797	"射倖ゲーム"
ndc9:797.1	"射倖ゲーム--花札"
ndc9:797.2	"射倖ゲーム--トランプあそび"
ndc9:797.3	"射倖ゲーム--ダイス ゲーム"
ndc9:797.4	"射倖ゲーム--ドミノ"
ndc9:797.5	"射倖ゲーム--麻雀"
ndc9:797.6	"射倖ゲーム--ルーレット"
ndc9:797.9	"射倖ゲーム--パチンコ"
ndc9:798	"室内娯楽"
ndc9:798.5	"室内娯楽--テレビゲーム"
ndc9:799	"ダンス"
ndc9:799.2	"ダンス--フォーク ダンス"
ndc9:799.3	"ダンス--社交ダンス"
ndc9:799.4	"ダンス--スクェアー ダンス"
